[2026-04-10 13:31:01] [INFO] Zappy Client starting...
[2026-04-10 13:31:01] [INFO] Team: team2
[2026-04-10 13:31:01] [INFO] Target Level: 8
[2026-04-10 13:31:01] [INFO] Fork enabled: yes
[2026-04-10 13:31:01] [INFO] Connecting to localhost:8674
[2026-04-10 13:31:01] [WARN] TLS: Certificate verification disabled (insecure mode)
[2026-04-10 13:31:01] [INFO] TLS context initialized successfully
[2026-04-10 13:31:01] [INFO] WebSocket: Starting connection to localhost:8674
[2026-04-10 13:31:01] [INFO] TLS handshake completed successfully
[2026-04-10 13:31:01] [INFO] WebSocket: HTTP 101 Upgrade successful
[2026-04-10 13:31:01] [INFO] WebSocket: Handshake complete, connection established
[2026-04-10 13:31:01] [INFO] Websocket connected
[2026-04-10 13:31:01] [INFO] Received bienvenue: {"type":"bienvenue","msg":"Whoa! Knock knock, whos there?"}
[2026-04-10 13:31:21] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:21] [INFO] Status: Level=1 Food=10 Forks=0
[2026-04-10 13:31:21] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:22] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:22] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:23] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:23] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:24] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:24] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:24] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:25] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:26] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:26] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:26] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:27] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:28] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:28] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:28] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:29] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:29] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:30] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:30] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:31] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:31] [INFO] Status: Level=1 Food=10 Forks=0
[2026-04-10 13:31:31] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:32] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:32] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:33] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:33] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:34] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:34] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:35] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:35] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:36] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:36] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:36] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:37] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:38] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:38] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:38] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:39] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:40] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:40] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:40] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:41] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:41] [INFO] Status: Level=1 Food=10 Forks=0
[2026-04-10 13:31:41] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:42] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:42] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:43] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:43] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:44] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:44] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:45] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:45] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:46] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:46] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:47] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:47] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:48] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:48] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:49] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:49] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:50] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:50] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:51] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:51] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:51] [INFO] Status: Level=1 Food=10 Forks=0
[2026-04-10 13:31:52] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:52] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:53] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:53] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:53] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:54] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:55] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:55] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:55] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:56] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:57] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:57] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:57] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:58] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:58] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:59] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:31:59] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:00] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:00] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:01] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:01] [INFO] Status: Level=1 Food=10 Forks=0
[2026-04-10 13:32:01] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:02] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:02] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:03] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:03] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:04] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:04] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:05] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:05] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:06] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:06] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:07] [INFO] AI: Low food (9), seeking nourriture
[2026-04-10 13:32:08] [INFO] AI: Low food (9), seeking nourriture
[2026-04-10 13:32:09] [WARN] AI: Command failed: prend
[2026-04-10 13:32:09] [INFO] AI: Low food (9), seeking nourriture
[2026-04-10 13:32:10] [WARN] AI: Command failed: prend
[2026-04-10 13:32:10] [INFO] AI: Low food (9), seeking nourriture
[2026-04-10 13:32:10] [WARN] AI: Command failed: prend
[2026-04-10 13:32:10] [INFO] AI: Low food (9), seeking nourriture
[2026-04-10 13:32:10] [WARN] AI: Command failed: prend
[2026-04-10 13:32:10] [INFO] AI: Low food (9), seeking nourriture
[2026-04-10 13:32:11] [WARN] AI: Command failed: prend
[2026-04-10 13:32:11] [INFO] AI: Low food (9), seeking nourriture
[2026-04-10 13:32:11] [INFO] Status: Level=1 Food=9 Forks=0
[2026-04-10 13:32:12] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:13] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:13] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:14] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:15] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:15] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:15] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:16] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:16] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:17] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:17] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:18] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:18] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:19] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:19] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:20] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:20] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:21] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:21] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:21] [INFO] Status: Level=1 Food=12 Forks=0
[2026-04-10 13:32:22] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:22] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:23] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:23] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:23] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:24] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:25] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:25] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:25] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:26] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:27] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:27] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:28] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:28] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:28] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:29] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:30] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:30] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:30] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:31] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:31] [INFO] Status: Level=1 Food=11 Forks=0
[2026-04-10 13:32:32] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:32] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:32] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:33] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:33] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:34] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:34] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:35] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:35] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:36] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:36] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:37] [INFO] AI: Low food (9), seeking nourriture
[2026-04-10 13:32:40] [INFO] AI: Low food (9), seeking nourriture
[2026-04-10 13:32:41] [WARN] AI: Command failed: prend
[2026-04-10 13:32:41] [INFO] AI: Low food (9), seeking nourriture
[2026-04-10 13:32:41] [INFO] Status: Level=1 Food=9 Forks=0
[2026-04-10 13:32:43] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:43] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:43] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:44] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:45] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:45] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:45] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:46] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:46] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:47] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:47] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:48] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:48] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:49] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:49] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:50] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:50] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:51] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:51] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:51] [INFO] Status: Level=1 Food=17 Forks=0
[2026-04-10 13:32:52] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:52] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:53] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:53] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:53] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:54] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:55] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:55] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:55] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:56] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:57] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:57] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:57] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:58] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:58] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:59] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:32:59] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:00] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:00] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:01] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:01] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:01] [INFO] Status: Level=1 Food=15 Forks=0
[2026-04-10 13:33:02] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:02] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:03] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:03] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:04] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:04] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:05] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:05] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:05] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:06] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:07] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:07] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:07] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:08] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:09] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:09] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:09] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:10] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:10] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:11] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:11] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:11] [INFO] Status: Level=1 Food=14 Forks=0
[2026-04-10 13:33:12] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:12] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:13] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:13] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:14] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:14] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:15] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:15] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:16] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:16] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:17] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:17] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:18] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:18] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:19] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:19] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:20] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:20] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:21] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:21] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:22] [INFO] Status: Level=1 Food=12 Forks=0
[2026-04-10 13:33:22] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:22] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:22] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:23] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:24] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:24] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:24] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:25] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:26] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:26] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:28] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:29] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:30] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:30] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:30] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:31] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:32] [INFO] Status: Level=1 Food=10 Forks=0
[2026-04-10 13:33:32] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:32] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:33] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:33] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:34] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:34] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:35] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:35] [INFO] AI: Need 1 stones for next level
[2026-04-10 13:33:37] [INFO] AI: Low food (9), seeking nourriture
[2026-04-10 13:33:40] [WARN] AI: Command failed: prend
[2026-04-10 13:33:40] [INFO] AI: Low food (9), seeking nourriture
[2026-04-10 13:33:42] [INFO] Status: Level=1 Food=9 Forks=0
[2026-04-10 13:33:42] [WARN] AI: Command failed: prend
[2026-04-10 13:33:42] [INFO] AI: Low food (9), seeking nourriture
[2026-04-10 13:33:42] [WARN] AI: Command failed: prend
[2026-04-10 13:33:42] [INFO] AI: Ready to incantate for level 2
[2026-04-10 13:33:42] [INFO] AI: Forking to increase team size
[2026-04-10 13:33:44] [INFO] Fork successful! Total forks: 1
[2026-04-10 13:33:44] [INFO] Fork successful! Total forks: 2
[2026-04-10 13:33:47] [INFO] AI: Ready to incantate for level 2
[2026-04-10 13:33:52] [INFO] Status: Level=1 Food=15 Forks=2
[2026-04-10 13:33:52] [INFO] AI: Ready to incantate for level 2
[2026-04-10 13:33:53] [INFO] AI: Forking to increase team size
[2026-04-10 13:33:55] [INFO] Fork successful! Total forks: 3
[2026-04-10 13:33:55] [INFO] Fork successful! Total forks: 4
[2026-04-10 13:33:58] [INFO] AI: Ready to incantate for level 2
[2026-04-10 13:34:02] [INFO] Status: Level=1 Food=14 Forks=4
[2026-04-10 13:34:03] [INFO] AI: Ready to incantate for level 2
[2026-04-10 13:34:03] [INFO] AI: Forking to increase team size
[2026-04-10 13:34:05] [INFO] Fork successful! Total forks: 5
[2026-04-10 13:34:05] [INFO] Fork successful! Total forks: 6
[2026-04-10 13:34:08] [INFO] AI: Ready to incantate for level 2
[2026-04-10 13:34:12] [INFO] Status: Level=1 Food=12 Forks=6
[2026-04-10 13:34:13] [INFO] AI: Ready to incantate for level 2
[2026-04-10 13:34:18] [INFO] AI: Ready to incantate for level 2
[2026-04-10 13:34:18] [WARN] AI: Command failed: incantation
[2026-04-10 13:34:22] [INFO] Status: Level=1 Food=10 Forks=6
[2026-04-10 13:34:23] [INFO] AI: Ready to incantate for level 2
[2026-04-10 13:34:23] [WARN] AI: Command failed: incantation
[2026-04-10 13:34:28] [INFO] AI: Low food (9), seeking nourriture
[2026-04-10 13:34:28] [WARN] AI: Command failed: prend
[2026-04-10 13:34:28] [INFO] AI: Low food (9), seeking nourriture
[2026-04-10 13:34:29] [WARN] AI: Command failed: prend
[2026-04-10 13:34:29] [INFO] AI: Low food (9), seeking nourriture
[2026-04-10 13:34:29] [WARN] AI: Command failed: prend
[2026-04-10 13:34:29] [INFO] AI: Low food (9), seeking nourriture
[2026-04-10 13:34:30] [WARN] AI: Command failed: prend
[2026-04-10 13:34:30] [INFO] AI: Ready to incantate for level 2
[2026-04-10 13:34:30] [WARN] AI: Command failed: incantation
[2026-04-10 13:34:32] [INFO] Status: Level=1 Food=9 Forks=6
[2026-04-10 13:34:33] [INFO] AI: Low food (8), seeking nourriture
[2026-04-10 13:34:34] [INFO] AI: Low food (8), seeking nourriture
[2026-04-10 13:34:34] [WARN] AI: Command failed: prend
[2026-04-10 13:34:34] [INFO] AI: Low food (8), seeking nourriture
[2026-04-10 13:34:35] [WARN] AI: Command failed: prend
[2026-04-10 13:34:35] [INFO] AI: Low food (8), seeking nourriture
[2026-04-10 13:34:35] [WARN] AI: Command failed: prend
[2026-04-10 13:34:35] [INFO] AI: Low food (8), seeking nourriture
[2026-04-10 13:34:35] [WARN] AI: Command failed: prend
[2026-04-10 13:34:35] [INFO] AI: Low food (8), seeking nourriture
[2026-04-10 13:34:37] [INFO] AI: Low food (8), seeking nourriture
[2026-04-10 13:34:39] [INFO] AI: Low food (9), seeking nourriture
[2026-04-10 13:34:39] [WARN] AI: Command failed: prend
[2026-04-10 13:34:39] [INFO] AI: Low food (9), seeking nourriture
[2026-04-10 13:34:39] [WARN] AI: Command failed: prend
[2026-04-10 13:34:39] [INFO] AI: Low food (9), seeking nourriture
[2026-04-10 13:34:40] [WARN] AI: Command failed: prend
[2026-04-10 13:34:40] [INFO] AI: Low food (9), seeking nourriture
[2026-04-10 13:34:40] [WARN] AI: Command failed: prend
[2026-04-10 13:34:40] [INFO] AI: Low food (9), seeking nourriture
[2026-04-10 13:34:41] [WARN] AI: Command failed: prend
[2026-04-10 13:34:41] [INFO] AI: Low food (9), seeking nourriture
[2026-04-10 13:34:41] [WARN] AI: Command failed: prend
