[2026-04-10 14:02:09] [INFO] Zappy Client starting...
[2026-04-10 14:02:09] [INFO] Team: team1
[2026-04-10 14:02:09] [INFO] Target Level: 8
[2026-04-10 14:02:09] [INFO] Fork enabled: yes
[2026-04-10 14:02:09] [INFO] Connecting to localhost:8674
[2026-04-10 14:02:09] [WARN] TLS: Certificate verification disabled (insecure mode)
[2026-04-10 14:02:09] [INFO] TLS context initialized successfully
[2026-04-10 14:02:09] [INFO] WebSocket: Starting connection to localhost:8674
[2026-04-10 14:02:09] [INFO] TLS handshake completed successfully
[2026-04-10 14:02:09] [INFO] WebSocket: HTTP 101 Upgrade successful
[2026-04-10 14:02:09] [INFO] WebSocket: Handshake complete, connection established
[2026-04-10 14:02:09] [INFO] Websocket connected
[2026-04-10 14:02:09] [INFO] Received bienvenue: {"type":"bienvenue","msg":"Whoa! Knock knock, whos there?"}
[2026-04-10 14:02:09] [INFO] Map size: 10x10
[2026-04-10 14:02:09] [INFO] Remaining team slots: 7
[2026-04-10 14:02:09] [INFO] Login successful! {"type":"welcome","remaining_clients":7,"map_size":{"x":10,"y":10}}
[2026-04-10 14:02:09] [INFO] Successfully logged in as team1
[2026-04-10 14:02:09] [INFO] Connected! Starting main loop...
[2026-04-10 14:02:09] [INFO] AI: Need 1 stones for next level
[2026-04-10 14:02:09] [INFO] Status: Level=1 Food=10 Forks=0
[2026-04-10 14:02:09] [INFO] AI: Need 1 stones for next level
[2026-04-10 14:02:10] [INFO] AI: Need 1 stones for next level
[2026-04-10 14:02:10] [INFO] AI: Need 1 stones for next level
[2026-04-10 14:02:10] [INFO] AI: Need 1 stones for next level
[2026-04-10 14:02:11] [INFO] AI: Need 1 stones for next level
[2026-04-10 14:02:12] [INFO] AI: Need 1 stones for next level
[2026-04-10 14:02:12] [INFO] AI: Need 1 stones for next level
[2026-04-10 14:02:12] [INFO] AI: Need 1 stones for next level
[2026-04-10 14:02:13] [INFO] AI: Need 1 stones for next level
[2026-04-10 14:02:14] [INFO] AI: Need 1 stones for next level
[2026-04-10 14:02:14] [INFO] AI: Need 1 stones for next level
[2026-04-10 14:02:14] [INFO] AI: Need 1 stones for next level
[2026-04-10 14:02:15] [INFO] AI: Need 1 stones for next level
[2026-04-10 14:02:15] [INFO] AI: Need 1 stones for next level
[2026-04-10 14:02:16] [INFO] AI: Need 1 stones for next level
[2026-04-10 14:02:17] [INFO] AI: Need 1 stones for next level
[2026-04-10 14:02:17] [INFO] AI: Need 1 stones for next level
[2026-04-10 14:02:17] [INFO] AI: Need 1 stones for next level
[2026-04-10 14:02:18] [INFO] AI: Need 1 stones for next level
[2026-04-10 14:02:19] [INFO] AI: Need 1 stones for next level
[2026-04-10 14:02:19] [INFO] Status: Level=1 Food=10 Forks=0
[2026-04-10 14:02:19] [INFO] AI: Need 1 stones for next level
[2026-04-10 14:02:19] [INFO] AI: Need 1 stones for next level
[2026-04-10 14:02:20] [INFO] AI: Need 1 stones for next level
[2026-04-10 14:02:20] [INFO] AI: Need 1 stones for next level
[2026-04-10 14:02:21] [INFO] AI: Need 1 stones for next level
